wave flux error
1214.031864785797 -4.943995258456198e-16 9.186255585177356e-20
1214.0852384245845 -2.859850310006699e-16 9.819363470154104e-20
1214.1386117174686 -1.102039627563496e-15 6.747961722622872e-20
1214.1919846644557 -2.923351575968966e-16 8.14978341424678e-20
1214.2453572655525 -4.406168776921324e-16 7.782009220382901e-20
1214.2987295207658 -6.592295301080159e-17 2.0369161118462736e-16
1214.3521014301025 -2.7232882171790125e-16 8.374390092418777e-20
1214.405472993569 -4.263778832718732e-16 7.258311481052776e-20
1214.4588442111726 -1.3832772241832627e-15 9.890413114893581e-20
1214.5122150829193 -2.8713239006728506e-16 8.266257553077636e-20
1214.5655856088165 -2.8371598855365325e-16 1.0311193430150771e-19
1214.6189557888704 -3.5703934269316255e-16 1.8390017672537572e-19
1214.672325623088 -6.492863823937651e-16 8.845300783970948e-20
1214.7256951114757 -1.0527400865718091e-15 7.351305322714489e-20
1214.7790642540408 -2.4281710857459776e-16 1.4424313483153755e-19
1214.8324330507894 -2.9305672378883885e-16 1.3151798215847784e-19
1214.8858015017288 -2.4051002905429346e-16 1.4101714336727781e-19
1214.939169606865 -7.774924422572287e-16 9.171308173014581e-20
1214.9925373662056 -8.575674960193021e-16 1.3883409740847673e-19
1215.0459047797565 1.4546247151546237e-15 3.8957726632898924e-16
1215.0992718475252 1.5476125214997929e-15 4.200056279398995e-16
1215.1526385695176 1.3036599387896211e-15 4.1584484328430877e-16
1215.2060049457411 3.2734162640859793e-16 3.072273467683869e-16
1215.2593709762023 8.062726101016801e-16 3.931203522077948e-16
1215.3127366609074 1.6735234397135526e-15 4.603008381253587e-16
1215.3661019998638 1.7475830243029035e-15 4.978076158484567e-16
1215.4194669930775 1.4197823325066733e-15 4.899920957837005e-16
1215.472831640556 1.4836425816198984e-15 5.708004683198592e-16
1215.5261959423058 -5.827734378479764e-16 5.441551411398439e-16
1215.5795598983332 -1.0889539214404827e-15 7.192982612259837e-16
1215.6329235086455 -1.2799277696734501e-15 1.0581739088075639e-15
1215.6862867732486 2.6602494841455058e-15 1.2328808069258677e-15
1215.7396496921501 -2.254307514805784e-16 9.16110707564375e-16
1215.7930122653565 3.253313366450997e-15 8.630771277038361e-16
1215.846374492874 1.1862728613548472e-14 9.845678044823492e-16
1215.8997363747098 2.2070436163324977e-14 1.19786944120494e-15
1215.9530979108706 3.001228483941708e-14 1.3930351496147506e-15
1216.006459101363 2.7231041992712215e-14 1.2945967921331185e-15
1216.0598199461933 2.0653309384987065e-14 1.1344280498841322e-15
1216.1131804453694 1.3381461229074274e-14 9.39984966457448e-16
1216.166540598897 9.777774801573904e-15 8.217042798512326e-16
1216.219900406783 7.773030774539582e-15 7.139508892904081e-16
1216.2732598690343 4.594327034698059e-15 5.910618140555373e-16
1216.3266189856574 4.018298043753036e-15 5.571004515518498e-16
1216.3799777566594 2.381580303180051e-15 4.185204615460075e-16
1216.4333361820463 1.7883315559338213e-15 4.035505571016066e-16
1216.4866942618257 -5.545806344128866e-16 1.108043585690814e-19
1216.5400519960037 -6.785908503976771e-17 2.878290217268425e-16
1216.5934093845874 -1.1332685676584595e-15 1.355182146760872e-19
1216.646766427583 -1.1597339532767425e-16 1.9519858501344925e-19
1216.7001231249978 -3.204995060189145e-16 1.9124570858590854e-19
1216.7534794768383 -2.3253910491349567e-16 1.1103008840342889e-19
1216.806835483111 6.093882189023314e-16 3.0414123516462504e-16
1216.860191143823 -4.998416595921695e-16 9.854888292523843e-20
1216.9135464589806 2.8330274235451155e-16 2.6497384934843495e-16
1216.9669014285905 -4.937339167677556e-16 1.2456556685008509e-17
1217.02025605266 -6.230680656982843e-16 1.4142768344504554e-19
1217.0736103311951 -3.660374795709634e-16 7.828383679709009e-20
1217.126964264203 -5.925534920152113e-16 1.3194612567365646e-19
1217.1803178516905 -3.759459121692666e-16 7.381722951036566e-20
1217.2336710936638 -1.0519817803257797e-15 2.021953506443598e-17
1217.2870239901297 -3.79608826740329e-16 7.423671347850662e-20
1217.3403765410956 -1.818100370046396e-16 1.0947510517410283e-19
1217.3937287465674 -6.18526327974666e-16 8.255268975627752e-20
1217.4470806065522 -2.4403215086765445e-16 9.583019228336951e-20
1217.5004321210567 -3.5122125866692997e-16 7.06053130412164e-20
1217.5537832900875 -4.2362357035541864e-16 8.436971475637242e-20
1217.6071341136512 -1.0661559237860148e-15 5.874707796185494e-20
1217.6604845917548 -8.760160324291783e-16 9.14959015829109e-20
1217.713834724405 -9.44216637182812e-16 6.02639656465638e-20
1217.767184511608 -3.975286822422206e-16 9.619483676183762e-20
1217.8205339533713 -5.721761557053186e-16 7.486741930853269e-20
1217.8738830497007 -1.2646244254154067e-15 6.726869909472476e-20
1217.9272318006037 -1.4040707183680533e-15 6.239922253794434e-20
1217.9805802060873 -6.259427367025878e-16 7.916274850967036e-20
